"",".id","dyad","edge","edge_sd","nAssociations","A","B","sexA","sexB","dyadicSex","dSex","absAgeA","absAgeB","ageDiff","resA","resB","dyadicResidency","dRes","P(k1)","P(k2)","P(k3)","likely.k"
"1",1,"101_102",0.0270065324554159,0.0282114786676091,1,"101","102","Male","Male","Male_Male","M-M",44,44,0,"Resident","Resident","Resident_Resident","R-R",0.130727,0.76065,0.108623,2
"2",1,"101_118",0.0113948316628514,0.0196058918093538,0,"101","118","Male","Male","Male_Male","M-M",44,44,0,"Resident","Resident","Resident_Resident","R-R",0.468158,0.473896,0.057946,2
"3",1,"101_120",0.0106235491655108,0.017009653127235,0,"101","120","Male","Male","Male_Male","M-M",44,44,0,"Resident","Resident","Resident_Resident","R-R",0.477564,0.471014,0.051422,1
"4",1,"101_124",0.0105920837649855,0.0185123125220636,0,"101","124","Male","Male","Male_Male","M-M",44,44,0,"Resident","Resident","Resident_Resident","R-R",0.477564,0.471014,0.051422,1
"5",1,"101_15",0.0107701895658834,0.0180768968415397,0,"101","15","Male","Male","Male_Male","M-M",44,44,0,"Resident","Resident","Resident_Resident","R-R",0.486702,0.467709,0.045589,1
"6",1,"101_16",0.175625982184901,0.141005366391223,2,"101","16","Male","Male","Male_Male","M-M",44,43,1,"Resident","Resident","Resident_Resident","R-R",0.002888,0.200023,0.797088,3
"7",1,"101_18",0.00970915950012331,0.0147776255453278,0,"101","18","Male","Male","Male_Male","M-M",44,44,0,"Resident","Resident","Resident_Resident","R-R",0.512675,0.45571,0.031616,1
"8",1,"101_21",0.0102303412118904,0.0166139329981556,0,"101","21","Male","Male","Male_Male","M-M",44,44,0,"Resident","Resident","Resident_Resident","R-R",0.495588,0.464028,0.040384,1
"9",1,"101_28",0.0115669954436985,0.0205739672135103,0,"101","28","Male","Male","Male_Male","M-M",44,42,2,"Resident","Resident","Resident_Resident","R-R",0.458465,0.476305,0.06523,2
"10",1,"101_291",0.00884365835295395,0.0140018701749171,0,"101","291","Male","Male","Male_Male","M-M",44,43,1,"Resident","Transient","Resident_Transient","R-T",0.536825,0.44138,0.021795,1
"11",1,"101_3",0.00814853309401863,0.0122967688932725,0,"101","3","Male","Male","Male_Male","M-M",44,45,1,"Resident","Resident","Resident_Resident","R-R",0.566809,0.420011,0.01318,1
"12",1,"101_355",0.010760957557249,0.0175392399826483,0,"101","355","Male","Male","Male_Male","M-M",44,43,1,"Resident","Transient","Resident_Transient","R-T",0.477564,0.471014,0.051422,1
"13",1,"101_37",0.0379854497476365,0.043688779736463,1,"101","37","Male","Male","Male_Male","M-M",44,44,0,"Resident","Resident","Resident_Resident","R-R",0.088777,0.652711,0.258512,2
"14",1,"101_413",0.0104033818053976,0.0170247365485413,0,"101","413","Male","Male","Male_Male","M-M",44,43,1,"Resident","Resident","Resident_Resident","R-R",0.486702,0.467709,0.045589,1
"15",1,"101_45",0.00829418697255289,0.0128762637272739,0,"101","45","Male","Male","Male_Male","M-M",44,44,0,"Resident","Resident","Resident_Resident","R-R",0.566809,0.420011,0.01318,1
"16",1,"101_452",0.0118708113177865,0.0209111226229049,0,"101","452","Male","Male","Male_Male","M-M",44,43,1,"Resident","Transient","Resident_Transient","R-T",0.458465,0.476305,0.06523,2
"17",1,"101_480",0.0102700845246065,0.0165081512233165,0,"101","480","Male","Male","Male_Male","M-M",44,43,1,"Resident","Resident","Resident_Resident","R-R",0.495588,0.464028,0.040384,1
"18",1,"101_496",0.342728844571013,0.189093703608615,3,"101","496","Male","Male","Male_Male","M-M",44,43,1,"Resident","Transient","Resident_Transient","R-T",8.4e-05,0.046919,0.952997,3
"19",1,"101_504",0.0114618444226526,0.0212863540330036,0,"101","504","Male","Male","Male_Male","M-M",44,43,1,"Resident","Transient","Resident_Transient","R-T",0.468158,0.473896,0.057946,2
