"","dyad","edge","edge_sd","nAssociations","A","B","sexA","sexB","dyadicSex","dSex","absAgeA","absAgeB","ageDiff","resA","resB","dyadicResidency","dRes","likely.k","pk1","pk2","pk3","ageDiff_scaled"
"1","1019_1020",0.0092517948855323,0.0143172371761776,0,"1019","1020","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,37,0,"Resident","Resident","Resident_Resident","R-R",1,0.560954439045561,0.435248564751435,0.0037969962030038,-0.824899830975751
"2","1019_1025",0.00775912863252712,0.011647206815708,0,"1019","1025","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,37,0,"Resident","Resident","Resident_Resident","R-R",1,0.638285,0.361322,0.000393,-0.824899830975751
"3","1019_1040",0.00716726326777051,0.0100349303444993,0,"1019","1040","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,37,0,"Resident","Resident","Resident_Resident","R-R",1,0.677136,0.322751,0.000113,-0.824899830975751
"4","1019_1045",0.0129819736213671,0.024613595431491,0,"1019","1045","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,37,0,"Resident","Transient","Resident_Transient","R-T",1,0.513733,0.473409,0.012858,-0.824899830975751
"5","1019_1046",0.00929311817391965,0.015209880613368,0,"1019","1046","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,37,0,"Resident","Resident","Resident_Resident","R-R",1,0.575687,0.421793,0.00252,-0.824899830975751
"6","1019_1062",0.00976999731745151,0.0153646077906144,0,"1019","1062","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,37,0,"Resident","Transient","Resident_Transient","R-T",1,0.553439,0.441903,0.004658,-0.824899830975751
"7","1019_1147",0.0200501542143172,0.0195586513958303,1,"1019","1147","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,37,0,"Resident","Resident","Resident_Resident","R-R",2,0.045713,0.952737,0.00155,-0.824899830975751
"8","1019_1155",0.0581241073208119,0.0369322248857323,3,"1019","1155","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,35,2,"Resident","Resident","Resident_Resident","R-R",2,2.3e-05,0.959058,0.040919,-0.545849328379004
"9","1019_1174",0.0129076443268684,0.0246793094190104,0,"1019","1174","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,37,0,"Resident","Transient","Resident_Transient","R-T",1,0.496380503619496,0.484406515593484,0.0192129807870192,-0.824899830975751
"10","1019_1253",0.00810563043964979,0.0119669231120692,0,"1019","1253","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,35,2,"Resident","Resident","Resident_Resident","R-R",1,0.61801,0.381259,0.000731,-0.545849328379004
