"","dyad","edge","edge_sd","nAssociations","A","B","sexA","sexB","dyadicSex","dSex","absAgeA","absAgeB","ageDiff","resA","resB","dyadicResidency","dRes","likely.k","pk1","pk2","pk3","ageDiff_scaled"
"1","1019_102",0.00567784366910502,0.00755336921320035,0,"1019","102","FemaleJ","Male","FemaleJ_Male","F-M",37,44,7,"Resident","Resident","Resident_Resident","R-R",1,0.868165,0.131801,3.4e-05,0.0737183346095196
"2","1019_1114",0.00741447245644147,0.0109677005358495,0,"1019","1114","FemaleJ","Male","FemaleJ_Male","F-M",37,37,0,"Resident","Resident","Resident_Resident","R-R",1,0.79898,0.200551,0.000469,-0.977594103241492
"3","1019_1123",0.0129792969256846,0.0234919053168502,0,"1019","1123","FemaleJ","Male","FemaleJ_Male","F-M",37,37,0,"Resident","Transient","Resident_Transient","R-T",1,0.666546,0.320715,0.012739,-0.977594103241492
"4","1019_1173",0.00709991977091237,0.0097185708997777,0,"1019","1173","FemaleJ","Male","FemaleJ_Male","F-M",37,37,0,"Resident","Resident","Resident_Resident","R-R",1,0.794135,0.205319,0.000546,-0.977594103241492
"5","1019_1179",0.0136713302579097,0.0254792873612636,0,"1019","1179","FemaleJ","Male","FemaleJ_Male","F-M",37,37,0,"Resident","Transient","Resident_Transient","R-T",1,0.666546,0.320715,0.012739,-0.977594103241492
"6","1019_118",0.0511741688258794,0.0387521798786905,2,"1019","118","FemaleJ","Male","FemaleJ_Male","F-M",37,44,7,"Resident","Resident","Resident_Resident","R-R",2,0.025121,0.89834,0.076539,0.0737183346095196
"7","1019_120",0.00679881261248445,0.00934987657881592,0,"1019","120","FemaleJ","Male","FemaleJ_Male","F-M",37,44,7,"Resident","Resident","Resident_Resident","R-R",1,0.817453,0.182293,0.000254,0.0737183346095196
"8","1019_124",0.0109099608948861,0.0176285119358724,0,"1019","124","FemaleJ","Male","FemaleJ_Male","F-M",37,44,7,"Resident","Resident","Resident_Resident","R-R",1,0.695596,0.297348,0.007056,0.0737183346095196
"9","1019_1292",0.010213549734157,0.0167732050097647,0,"1019","1292","FemaleJ","Male","FemaleJ_Male","F-M",37,36,1,"Resident","Transient","Resident_Transient","R-T",1,0.702409,0.291509,0.006082,-0.827406612119919
"10","1019_1293",0.0116163158548645,0.0203561279372676,0,"1019","1293","FemaleJ","Male","FemaleJ_Male","F-M",37,36,1,"Resident","Transient","Resident_Transient","R-T",1,0.681456,0.309056,0.009488,-0.827406612119919
"11","1019_1345",0.0130162849568159,0.0258889607918142,0,"1019","1345","FemaleJ","Male","FemaleJ_Male","F-M",37,36,1,"Resident","Transient","Resident_Transient","R-T",1,0.666546,0.320715,0.012739,-0.827406612119919
"12","1019_1424",0.0533422071373783,0.041295618432734,2,"1019","1424","FemaleJ","Male","FemaleJ_Male","F-M",37,35,2,"Resident","Transient","Resident_Transient","R-T",2,0.024153,0.889633,0.086214,-0.677219120998346
"13","1019_1458",0.00773033668709399,0.0118815184428039,0,"1019","1458","FemaleJ","Male","FemaleJ_Male","F-M",37,35,2,"Resident","Resident","Resident_Resident","R-R",1,0.789197789197789,0.21016721016721,0.000635000635000635,-0.677219120998346
"14","1019_16",0.00797000449258725,0.0116769652596475,0,"1019","16","FemaleJ","Male","FemaleJ_Male","F-M",37,43,6,"Resident","Resident","Resident_Resident","R-R",1,0.779035,0.220104,0.000861,-0.0764691565120535
"15","1019_1676",0.0107454754165786,0.0170802948865409,0,"1019","1676","FemaleJ","Male","FemaleJ_Male","F-M",37,34,3,"Resident","Resident","Resident_Resident","R-R",1,0.695596,0.297348,0.007056,-0.527031629876773
"16","1019_1696",0.0120667693430464,0.0225797272605329,0,"1019","1696","FemaleJ","Male","FemaleJ_Male","F-M",37,34,3,"Resident","Transient","Resident_Transient","R-T",1,0.674104674104674,0.314899314899315,0.010996010996011,-0.527031629876773
