"","dyad","edge","edge_sd","nAssociations","A","B","sexA","sexB","dyadicSex","dSex","absAgeA","absAgeB","ageDiff","resA","resB","dyadicResidency","dRes","likely.k","pk1","pk2","pk3","ageDiff_scaled"
"1","101_102",0.0265614988268404,0.0267281587388297,1,"101","102","Male","Male","Male_Male","M-M",44,44,0,"Resident","Resident","Resident_Resident","R-R",2,0.185919,0.732056,0.082025,-1.05521125513437
"2","101_118",0.0114070969039435,0.0202018753275699,0,"101","118","Male","Male","Male_Male","M-M",44,44,0,"Resident","Resident","Resident_Resident","R-R",1,0.530542469457531,0.423551576448424,0.0459059540940459,-1.05521125513437
"3","101_120",0.0111633175536076,0.0192080502632558,0,"101","120","Male","Male","Male_Male","M-M",44,44,0,"Resident","Resident","Resident_Resident","R-R",1,0.54031454031454,0.419424419424419,0.0402610402610403,-1.05521125513437
"4","101_124",0.0107855134382747,0.0177469050657194,0,"101","124","Male","Male","Male_Male","M-M",44,44,0,"Resident","Resident","Resident_Resident","R-R",1,0.54031454031454,0.419424419424419,0.0402610402610403,-1.05521125513437
"5","101_15",0.0111035960187593,0.0191623699755354,0,"101","15","Male","Male","Male_Male","M-M",44,44,0,"Resident","Resident","Resident_Resident","R-R",1,0.54976345023655,0.414957585042415,0.0352789647210353,-1.05521125513437
"6","101_16",0.178266711928419,0.141689201051387,2,"101","16","Male","Male","Male_Male","M-M",44,43,1,"Resident","Resident","Resident_Resident","R-R",3,0.005227,0.222607,0.772166,-0.906780571853278
"7","101_18",0.00964778873205871,0.0146676854096185,0,"101","18","Male","Male","Male_Male","M-M",44,44,0,"Resident","Resident","Resident_Resident","R-R",1,0.576411,0.399965,0.023624,-1.05521125513437
"8","101_21",0.0104254142538809,0.017244700511978,0,"101","21","Male","Male","Male_Male","M-M",44,44,0,"Resident","Resident","Resident_Resident","R-R",1,0.558915,0.410198,0.030887,-1.05521125513437
"9","101_28",0.012184255785975,0.0224498284640949,0,"101","28","Male","Male","Male_Male","M-M",44,42,2,"Resident","Resident","Resident_Resident","R-R",1,0.520422,0.427289,0.052289,-0.758349888572181
"10","101_291",0.00907946935653495,0.0148531218297611,0,"101","291","Male","Male","Male_Male","M-M",44,43,1,"Resident","Transient","Resident_Transient","R-T",1,0.600934600934601,0.383335383335383,0.0157300157300157,-0.906780571853278
