"","dyad",".id","edge","edge_sd","nAssociations","A","B","sexA","sexB","dyadicSex","dSex","absAgeA","absAgeB","ageDiff","resA","resB","dyadicResidency","dRes","likely.k","pk1","pk2","pk3","ageDiff_scaled","wang","wang.low","wang.high"
"1","102_124",1,0.00615506216873828,0.00799671744420847,0,"102","124","Male","Male","Male_Male","M-M",44,44,0,"Resident","Resident","Resident_Resident","R-R",1,0.754064,0.24539,0.000546,-1.05521125513437,-0.1875,-0.5867,0.1541
"2","102_1313",2,0.0288713516302111,0.0310674331772408,1,"102","1313","Male","FemaleJ","FemaleJ_Male","F-M",44,35,9,"Resident","Resident","Resident_Resident","R-R",2,0.207758,0.765633,0.026609,0.374093316852666,-0.2715,-0.6323,0.1659
"3","102_1315",2,0.00965677266424483,0.0148464037016756,0,"102","1315","Male","FemaleJ","FemaleJ_Male","F-M",44,36,8,"Resident","Transient","Resident_Transient","R-T",1,0.715572,0.279914,0.004514,0.223905825731093,0.0141,-0.4509,0.3672
"4","102_1329",2,0.00984435836287174,0.0158913924848395,0,"102","1329","Male","FemaleJ","FemaleJ_Male","F-M",44,36,8,"Resident","Resident","Resident_Resident","R-R",1,0.728172,0.268482,0.003346,0.223905825731093,0.096,-0.2978,0.4008
"5","102_1336",2,0.00541493041921968,0.00727217309489568,0,"102","1336","Male","FemaleJ","FemaleJ_Male","F-M",44,39,5,"Resident","Resident","Resident_Resident","R-R",1,0.887198,0.112788,1.4e-05,-0.226656647633627,-0.209,-0.5821,0.1426
"6","102_162",2,0.00462013258708154,0.00546596651756474,0,"102","162","Male","FemaleJ","FemaleJ_Male","F-M",44,44,0,"Resident","Resident","Resident_Resident","R-R",1,0.930535069464931,0.0694639305360695,9.99999000001e-07,-0.977594103241492,-0.2744,-0.7525,0.1544
"7","102_1739",1,0.0494883877731149,0.0294476487681077,3,"102","1739","Male","Male","Male_Male","M-M",44,32,12,"Resident","Resident","Resident_Resident","R-R",2,0.00849099150900849,0.86018813981186,0.131320868679131,0.725956944238787,-0.0577,-0.3628,0.245
"8","102_1966",1,0.0372549693242446,0.040809220232983,1,"102","1966","Male","Male","Male_Male","M-M",44,31,13,"Resident","Transient","Resident_Transient","R-T",2,0.135388,0.667167,0.197445,0.874387627519884,0.086,-0.2523,0.419
"9","102_1978",2,0.0394575243595622,0.0447958827092783,1,"102","1978","Male","FemaleJ","FemaleJ_Male","F-M",44,31,13,"Resident","Transient","Resident_Transient","R-T",2,0.16889,0.765572,0.065538,0.974843281338958,-0.207,-0.5764,0.171
"10","102_2232",1,0.0137570085020813,0.0278037246338231,0,"102","2232","Male","Male","Male_Male","M-M",44,30,14,"Resident","Transient","Resident_Transient","R-T",1,0.487705,0.435572,0.076723,1.02281831080098,-0.1505,-0.4158,0.1664
"11","102_2233",1,0.0134338084822355,0.027064667275,0,"102","2233","Male","Male","Male_Male","M-M",44,30,14,"Resident","Transient","Resident_Transient","R-T",1,0.499031,0.433362,0.067607,1.02281831080098,-0.3409,-0.7029,-0.0356
"12","102_251",2,0.00461184250892436,0.00579088941891305,0,"102","251","Male","FemaleJ","FemaleJ_Male","F-M",44,43,1,"Resident","Resident","Resident_Resident","R-R",1,0.934263065736934,0.0657359342640657,9.99999000001e-07,-0.827406612119919,-0.218,-0.6061,0.115
"13","102_413",1,0.00533505988632902,0.00691875985142412,0,"102","413","Male","Male","Male_Male","M-M",44,43,1,"Resident","Resident","Resident_Resident","R-R",1,0.82389,0.176047,6.3e-05,-0.906780571853278,-0.1105,-0.4917,0.2631
"14","102_45",1,0.00337080628461447,0.00369270240665245,0,"102","45","Male","Male","Male_Male","M-M",44,44,0,"Resident","Resident","Resident_Resident","R-R",1,0.975935024064976,0.0240639759360241,9.99999000001e-07,-1.05521125513437,-0.0515,-0.5777,0.3093
"15","102_4513",2,0.00594579781670017,0.00788594096173993,0,"102","4513","Male","FemaleJ","FemaleJ_Male","F-M",44,24,20,"Resident","Resident","Resident_Resident","R-R",1,0.854002,0.145934,6.4e-05,2.02615571918997,-0.0394,-0.3895,0.3069
"16","102_480",1,0.0124420992225156,0.0113947400156942,1,"102","480","Male","Male","Male_Male","M-M",44,43,1,"Resident","Resident","Resident_Resident","R-R",2,0.486789,0.51302,0.000191,-0.906780571853278,-0.0325,-0.4205,0.2474
"17","102_5001",1,0.0286735754643132,0.0308656872208625,1,"102","5001","Male","Male","Male_Male","M-M",44,22,22,"Resident","Resident","Resident_Resident","R-R",2,0.179798,0.72809,0.092112,2.21026377704976,0.2999,-0.051,0.5772
"18","102_5009",2,0.00716161441491876,0.0102712771936687,0,"102","5009","Male","FemaleJ","FemaleJ_Male","F-M",44,23,21,"Resident","Resident","Resident_Resident","R-R",1,0.79898,0.200551,0.000469,2.17634321031154,0.2439,0.0872,0.3796
"19","102_5019",1,0.00783005048545966,0.0114298100511687,0,"102","5019","Male","Male","Male_Male","M-M",44,23,21,"Resident","Resident","Resident_Resident","R-R",1,0.658926,0.335856,0.005218,2.06183309376866,-0.0436,-0.4028,0.2479
"20","102_5029",2,0.00597888735303834,0.00783933497701072,0,"102","5029","Male","FemaleJ","FemaleJ_Male","F-M",44,23,21,"Resident","Resident","Resident_Resident","R-R",1,0.854002,0.145934,6.4e-05,2.17634321031154,-0.151,-0.5654,0.1311
"21","102_5061",1,0.0068196405787626,0.0103589235889953,0,"102","5061","Male","Male","Male_Male","M-M",44,22,22,"Resident","Resident","Resident_Resident","R-R",1,0.715271,0.283253,0.001476,2.21026377704976,-0.2375,-0.5879,0.1507
"22","102_5112",2,0.00732577615321791,0.0108852849793097,0,"102","5112","Male","FemaleJ","FemaleJ_Male","F-M",44,23,21,"Resident","Resident","Resident_Resident","R-R",1,0.79898,0.200551,0.000469,2.17634321031154,-0.2056,-0.5448,0.1918
"23","102_54",2,0.0521072503017143,0.0225018776156048,6,"102","54","Male","FemaleJ","FemaleJ_Male","F-M",44,44,0,"Resident","Resident","Resident_Resident","R-R",2,1.4e-05,0.995092,0.004894,-0.977594103241492,0.5436,0.3669,0.7044
"24","102_6105",1,0.0260308342206655,0.0273281628516193,1,"102","6105","Male","Male","Male_Male","M-M",44,18,26,"Resident","Resident","Resident_Resident","R-R",2,0.198022,0.737185,0.064793,2.80398651017414,-0.0653,-0.5015,0.3029
"25","102_6118",2,0.0112037529560682,0.020559165102371,0,"102","6118","Male","FemaleJ","FemaleJ_Male","F-M",44,18,26,"Resident","Transient","Resident_Transient","R-T",1,0.695596,0.297348,0.007056,2.92728066591941,-0.5247,-0.9734,-0.1697
"26","102_6133",1,0.00886142464433308,0.0142048630125715,0,"102","6133","Male","Male","Male_Male","M-M",44,18,26,"Resident","Resident","Resident_Resident","R-R",1,0.584797,0.394562,0.020641,2.80398651017414,-0.1849,-0.5243,0.1204
"27","102_619",2,0.00784579733273531,0.011966996121328,0,"102","619","Male","FemaleJ","FemaleJ_Male","F-M",44,40,4,"Resident","Resident","Resident_Resident","R-R",1,0.773808,0.22519,0.001002,-0.3768441387552,-0.0588,-0.4594,0.3229
"28","102_6203",2,0.00862921251505383,0.013023241881503,0,"102","6203","Male","FemaleJ","FemaleJ_Male","F-M",44,17,27,"Resident","Resident","Resident_Resident","R-R",1,0.751877,0.246289,0.001834,3.07746815704098,0.0234,-0.2559,0.3008
"29","102_6224",2,0.0320649560453983,0.0335905129051016,1,"102","6224","Male","FemaleJ","FemaleJ_Male","F-M",44,17,27,"Resident","Resident","Resident_Resident","R-R",2,0.19109,0.769552,0.039358,3.07746815704098,-0.2511,-0.5933,0.045
"30","102_677",2,0.00690233468814584,0.0101564071178727,0,"102","677","Male","FemaleJ","FemaleJ_Male","F-M",44,37,7,"Resident","Resident","Resident_Resident","R-R",1,0.826160826160826,0.173652173652174,0.000187000187000187,0.0737183346095196,0.2871,-0.0025,0.534
"31","102_76",1,0.00466492460442932,0.00567028140913909,0,"102","76","Male","Male","Male_Male","M-M",44,44,0,"Resident","Resident","Resident_Resident","R-R",1,0.879948,0.120046,6e-06,-1.05521125513437,0.1763,-0.1004,0.4336
"32","102_804",1,0.00551363800437818,0.00713720208751571,0,"102","804","Male","Male","Male_Male","M-M",44,39,5,"Resident","Resident","Resident_Resident","R-R",1,0.806983,0.192904,0.000113,-0.31305783872889,-0.0156,-0.3677,0.212
"33","102_824",1,0.00576621749211805,0.00766797593828244,0,"102","824","Male","Male","Male_Male","M-M",44,39,5,"Resident","Resident","Resident_Resident","R-R",1,0.784116,0.215652,0.000232,-0.31305783872889,0.4753,0.2657,0.6456
