"","dyad","edge","edge_sd","nAssociations","A","B","sexA","sexB","dyadicSex","dSex","absAgeA","absAgeB","ageDiff","resA","resB","dyadicResidency","dRes","likely.k","pk1","pk2","pk3","ageDiff_scaled"
"1","1009_1016",0.0125512711414594,0.0237179073626844,0,"1009","1016","Unknown","Unknown","Unknown_Unknown",NA,37,37,0,"Transient","Transient","Transient_Transient","T-T",1,0.662313662313662,0.318516318516319,0.0191700191700192,-0.808567136031202
"2","1009_1019",0.0124218578941106,0.024302467866945,0,"1009","1019","Unknown","FemaleJ","FemaleJ_Unknown",NA,37,37,0,"Transient","Resident","Resident_Transient","R-T",1,0.662313662313662,0.318516318516319,0.0191700191700192,-0.808567136031202
"3","1009_102",0.0105331371517391,0.0175226190422441,0,"1009","102","Unknown","Male","Male_Unknown",NA,37,44,7,"Transient","Resident","Resident_Transient","R-T",1,0.700237,0.291046,0.008717,0.324766814475493
"4","1009_1020",0.0113108441607786,0.0204771766479143,0,"1009","1020","Unknown","FemaleJ","FemaleJ_Unknown",NA,37,37,0,"Transient","Resident","Resident_Transient","R-T",1,0.685843685843686,0.302191302191302,0.011965011965012,-0.808567136031202
"5","1009_1025",0.012634050055723,0.0237634474510143,0,"1009","1025","Unknown","FemaleJ","FemaleJ_Unknown",NA,37,37,0,"Transient","Resident","Resident_Transient","R-T",1,0.662313662313662,0.318516318516319,0.0191700191700192,-0.808567136031202
"6","1009_1040",0.0102389723297589,0.017037408566834,0,"1009","1040","Unknown","FemaleJ","FemaleJ_Unknown",NA,37,37,0,"Transient","Resident","Resident_Transient","R-T",1,0.693154,0.296631,0.010215,-0.808567136031202
"7","1009_1042",0.0117584933690834,0.0219122419010517,0,"1009","1042","Unknown","Unknown","Unknown_Unknown",NA,37,37,0,"Transient","Resident","Resident_Transient","R-T",1,0.670449,0.313158,0.016393,-0.808567136031202
"8","1009_1045",0.0114194704699,0.0195482248242258,0,"1009","1045","Unknown","FemaleJ","FemaleJ_Unknown",NA,37,37,0,"Transient","Transient","Transient_Transient","T-T",1,0.678283,0.307708,0.014009,-0.808567136031202
"9","1009_1046",0.00942715915802144,0.0146471040468176,0,"1009","1046","Unknown","FemaleJ","FemaleJ_Unknown",NA,37,37,0,"Transient","Resident","Resident_Transient","R-T",1,0.7203,0.274295,0.005405,-0.808567136031202
"10","1009_1047",0.0123410209013752,0.0242246600558777,0,"1009","1047","Unknown","Unknown","Unknown_Unknown",NA,37,37,0,"Transient","Transient","Transient_Transient","T-T",1,0.662313662313662,0.318516318516319,0.0191700191700192,-0.808567136031202
"11","1009_1062",0.00984324513762878,0.01602958162997,0,"1009","1062","Unknown","FemaleJ","FemaleJ_Unknown",NA,37,37,0,"Transient","Transient","Transient_Transient","T-T",1,0.713794286205714,0.27986472013528,0.00634099365900634,-0.808567136031202
"12","1009_1063",0.0101534174428081,0.0170876878201234,0,"1009","1063","Unknown","Unknown","Unknown_Unknown",NA,37,37,0,"Transient","Resident","Resident_Transient","R-T",1,0.700237,0.291046,0.008717,-0.808567136031202
"13","1009_1068",0.0127448415286467,0.024366863438963,0,"1009","1068","Unknown","Unknown","Unknown_Unknown",NA,37,37,0,"Transient","Transient","Transient_Transient","T-T",1,0.662313662313662,0.318516318516319,0.0191700191700192,-0.808567136031202
"14","1009_1069",0.0124416367754076,0.0235617565015619,0,"1009","1069","Unknown","Unknown","Unknown_Unknown",NA,37,37,0,"Transient","Resident","Resident_Transient","R-T",1,0.662313662313662,0.318516318516319,0.0191700191700192,-0.808567136031202
"15","1009_1081",0.0128046967065487,0.0245057629637388,0,"1009","1081","Unknown","Unknown","Unknown_Unknown",NA,37,37,0,"Transient","Transient","Transient_Transient","T-T",1,0.662313662313662,0.318516318516319,0.0191700191700192,-0.808567136031202
"16","1009_1097",0.0115049593311243,0.021464599554739,0,"1009","1097","Unknown","Unknown","Unknown_Unknown",NA,37,37,0,"Transient","Transient","Transient_Transient","T-T",1,0.678283,0.307708,0.014009,-0.808567136031202
"17","1009_1100",0.0117569214503481,0.0204116730365186,0,"1009","1100","Unknown","Unknown","Unknown_Unknown",NA,37,37,0,"Transient","Transient","Transient_Transient","T-T",1,0.670449,0.313158,0.016393,-0.808567136031202
"18","1009_1109",0.011767415109503,0.0213047103337208,0,"1009","1109","Unknown","Unknown","Unknown_Unknown",NA,37,37,0,"Transient","Transient","Transient_Transient","T-T",1,0.670449,0.313158,0.016393,-0.808567136031202
"19","1009_1114",0.0118685682788093,0.021224856568427,0,"1009","1114","Unknown","Male","Male_Unknown",NA,37,37,0,"Transient","Resident","Resident_Transient","R-T",1,0.670449,0.313158,0.016393,-0.808567136031202
"20","1009_1116",0.0117040772015444,0.0216209198308229,0,"1009","1116","Unknown","Unknown","Unknown_Unknown",NA,37,37,0,"Transient","Transient","Transient_Transient","T-T",1,0.670449,0.313158,0.016393,-0.808567136031202
"21","1009_1123",0.0125365892915179,0.0237200585417682,0,"1009","1123","Unknown","Male","Male_Unknown",NA,37,37,0,"Transient","Transient","Transient_Transient","T-T",1,0.662313662313662,0.318516318516319,0.0191700191700192,-0.808567136031202
